External ID,Status,Company,M,Title,Address,Unit,City,State,Zip,Square Feet,Forms,Parking Space,Area,Type,Bedroom,Bathroom,Monthly Rent,Price per Bedroom,Available,Paid Utilities,Pets,Pets Info,Laundry,Web Description,Phone,Gate Code,Key Number,Email,Commission,Bonus,Deposit and 1st Month's Rent Paid To,Description,Double Occupancy,Dbl Occ Info,Listing Type,Pool
,Leased,ACR,,3402 Red River,3402 Red River,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,3.0,4500.0,750.0,2016/8/10,,,,,,"817-726-8173, 408-887-4047, 325-428-7822, 325-340-7771, 325-262-1678, 469-525-5858",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Newly built house with washer/dryer and dishwasher.  Parking and yard area.  Includes two fridges with ice makers, tile in living area/kitchen. Newly landscaped, exterior paint soon to come.",,,,
,Leased,ACR,,3404 Red River,3404 Red River,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,3.0,4500.0,750.0,2016/8/10,,,,,,"979-824-1437, 512-501-9180, 325-248-4850, 832-314-9919, 903-261-6465, 817-710-5750",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Newly built house with washer/dryer and dishwasher.  Parking and yard area.  Includes two fridges with ice makers, tile in living area/kitchen. Newly landscaped, exterior paint soon to come.",,,,
,Leased,ACR,,3406 Red River,3406 Red River,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,3.0,4500.0,750.0,2016/8/10,,,,,,"214-799-9962, 214-505-2810, 630-877-3003, 281-414-0754, 214-578-2305, 972-757-1970",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Newly built house with washer/dryer and dishwasher.  Parking and yard area.  Includes two fridges with ice makers, tile in living area/kitchen.",,,,
,Leased,ACR,,508 Nelray,508 Nelray,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,2.0,2500.0,500.0,2015/8/12,,,,,,"512-426-4725, 903-926-2827, 505-412-8071, 405-714-4746, 713-705-4576",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Near IF bus route, Home improvements to be made this year.  Fenced in backyard.",,,,
,Leased,ACR,,1707 W. 41st Street,1707 W. 41st Street,,Austin,TX,,,TAA + ADDENDA,,Shoal Creek,House/Duplex,5,2.0,3100.0,620.0,2015/8/10,,,,,,"936-689-6628, 972-971-1292, 979-578-3695, 972-567-9227",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Large Bedrooms, Big Deck, Wood Floors - Owner Managed",,,,
,Leased,ACR,,5507 Link - 75% COMMISSION,5507 Link,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,3.0,2650.0,530.0,2015/8/12,,,,,,"956-605-7101, 281-919-5875, 956-802-4243, 913-522-2537, 832-729-6482, 832-445-7738",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property",Great Price for spacious rooms and a big yard.  Wood floors through out.  W/D,,,,
,Leased,ACR,,708 E 45th,708 E 45th,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,5.5,4125.0,825.0,2016/8/8,,,,,,"817-692-0111, 972-971-4478,817-291-9202, 956-821-1430, 512-699-9576",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Great floor plan, plenty of parking, nice finish-out",,,,
,Leased,ACR,,710 E 45th,710 E 45th,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,5.5,4125.0,825.0,2016/8/8,,,,,,"512-589-3707, 512-673-7375, 512-560-5437, 281-734-7895, 713-494-7310",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Great floor plan, plenty of parking, nice finish-out",,,,
,Leased,ACR,,712 E 45th,712 E 45th,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,5.5,4125.0,825.0,2016/8/8,,,,,,"240-671-7684, 415-912-9871, 817-647-5136, 703-462-4592, 972-979-4862, 626-864-9049",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Great floor plan, plenty of parking, nice finish-out",,,,
,Leased,ACR,,3603 Griffith,3603 Griffith,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,3.0,4500.0,900.0,2016/8/9,,,,,,"214-457-0811, 972-658-5299, 972-948-5449, 512-576-2483, 281-841-5893, 214-934-4349",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Luxury finish out with stainless steel appliances, wood floors and granite countertops.  Huge fenced in back and side yard with porch.  Energy efficient.  Laundry room with W/D.",,,,
,Leased,ACR,,1904 David,1904 David,,Austin,TX,,,TAA + ADDENDA,,WC,House/Duplex,5,3.0,4500.0,900.0,2016/8/8,,,,,,,,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Great location and price in West Campus.  Wood floors, large bedrooms and plenty of parking.",,,,
,Leased,ACR,,3105 Whitis,3105 Whitis,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,3.0,3750.0,750.0,2016/8/12,,,,,,"281-757-1020, 713-823-7593, 512-924-2356, 512-527-4120, 281-323-9160, 281-785-5444",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","HOT TUB!, Updated Carpets, Fridge, and Countertops",,,,
,Active,ACR,,The Corner - 50% COMMISSION,2508 San Gabriel St,,Austin,TX,,,TAA + ADDENDA,,WC,Apartment,5,4.0,4375.0,875.0,2016/8/15,,,,,,"Property Coming August 2016, Visit www.UTCorner.com",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","New Build!  Wood plank flooring, quartz counters, W/D in unit.  Free Cable & Internet! Free Plasma TV! (Individual Lease)",,,,
,Leased,ACR,,110 Nelray #A,110 Nelray,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,3.0,3750.0,750.0,2016/8/9,,,,,,"805-440-5826, 805-748-5542, 281-793-5633, 512-587-2886",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","2015 Construction, wood and tile floors, fireplace, garage, W/D",,,,
,Leased,ACR,,107 Nelray #A,107 Nelray ,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,6,5.0,3600.0,900.0,2016/8/11,,,,,,"832-771-4976, 512-297-7921, 817-201-4979, 210-683-4636",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Big House, Tile and Carpet, 2 Studies",,,,
,Leased,ACR,,5517 Duval #A,5517 Duval,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,3.0,3200.0,800.0,2016/8/9,,,,,,"503-840-7657, 214-455-0645, 817-253-6192, 903-819-7666",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Built 2006, Nice Finish Out, Washer/Dryer, Plenty of Parking",,,,
,Active,ACR,,408 Nelray # A,408 Nelray,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,3.0,3100.0,775.0,2016/8/12,,,,,,"210-219-2859, 817-565-9561, 915-449-7436, 210-870-9799",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","SS Appliances, Granite counters, Nice House, 1 study",,,,
,Active,ACR,,903 Shoal Cliff #A - 75% COMMISSION,903 Shoal Cliff,,Austin,TX,,,TAA + ADDENDA,,WC,House/Duplex,5,2.0,5250.0,1050.0,2016/8/10,,,,,,"361-463-8643, 210-204-5092, 512-299-0598, 512-744-8859,",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Front house only. Back house leased separately.  Wood floors, washer/dryer",,,,
,Active,ACR,,The Corner,2508 San Gabriel St,,Austin,TX,,,TAA + ADDENDA,,WC,Apartment,4,4.0,3800.0,950.0,2016/8/15,,,,,,"Property Coming August 2016, Visit www.UTCorner.com",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","New Build!  Wood plank flooring, quartz counters, W/D in unit.  Free Cable & Internet! Free Plasma TV!",,,,
,Active,ACR,,601 Elmwood - C,601 Elmwood , C,Austin,TX,,,TAA + ADDENDA,,NC/HP,T,4,2.0,4200.0,1050.0,2016/8/3,,,,,,"832-713-3777, 936-697-4797, 832-492-6087, 469-667-3637",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","New Build with Modern Design, SS Appliances, 65"" Plasma TV, Large Closets, 10' Ceilings, Washer/Dryer",,,,
,Active,ACR,,The Corner - 50% COMMISSION,2508 San Gabriel St,,Austin,TX,,,TAA + ADDENDA,,WC,Apartment,4,3.0,3800.0,950.0,2016/8/15,,,,,,"Property Coming August 2016, Visit www.UTCorner.com",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","New Build!  Wood plank flooring, quartz counters, W/D in unit.  Free Cable & Internet! Free Plasma TV!",,,,
,Leased,ACR,,1902 David,1902 David,,Austin,TX,,,TAA + ADDENDA,,WC,House/Duplex,4,2.0,3500.0,875.0,2016/8/8,,,,,,"713-213-1635, 713-898-0895, 817-701-9425, 713-974-4447, 832-330-0946",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property",Large bedrooms and wood floors.  Easy walk to campus.  W/D included -- Owner Managed,,,,
,Leased,ACR,,5413 Roosevelt #A,5413 Roosevelt,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,2.0,2800.0,700.0,2016/8/9,,,,,,"740-624-4262, 765-421-5377, 585-645-9508, 219-671-6723",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Built in 2008, Corner Lot, Fenced Yard, Washer/Dryer, Garage",,,,
,Leased,ACR,,5414 Grover #A,5414 Grover,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,2.0,2800.0,700.0,2016/8/9,,,,,,"817-721-0710, 817-714-0881, 214-203-6129, 817-995-1930",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Built in 2008, Corner Lot, Fenced Yard, Washer/Dryer, Garage, Hardwoods to be installed in Living Room",,,,
,Leased,ACR,,1400 Sanchez #A,1400 Sanchez,A,Austin,TX,,,TAA + ADDENDA,,EC,House/Duplex,4,2.0,2200.0,550.0,2016/8/5,,,,,,"561-289-9046, 714-389-8938, 214-802-3694, 830-302-8969",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Fenced in front yard and back yard. Separate from unit A front house. Tile floors through out with carpet upstairs, w/d.  Right off of MLK, minutes from downtown and the UT campus.",,,,
,Active,ACR,,1506 North #A,1506 North St,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,2.0,2900.0,725.0,2016/8/9,,,,,,"214-536-8781, 281-961-7006, 214-476-8152, 210-649-7271, 817-584-1211",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Built in 2003, Spacious 4 bedroom, Washer/Dryer.  Located near Burnet shops and restaurants.",,,,
,Leased,ACR,,3107 Whitis,3107 Whitis,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,3.0,3100.0,775.0,2016/8/12,,,,,,"760-936-3100, 281-455-8050, 512-757-6411, 281-804-0813",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Charming house with hardwood floors.  Great Location, Walk to Campus. Street and back alley parking.",,,,
,Active,ACR,,704 Franklin A,704 Franklin ,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,2.0,2600.0,650.0,2016/8/12,,,,,,"512-417-0517, 817-944-5598, 713-248-4188, 817-229-0965",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Charming house, nice finishout.  W/D",,,,
,Leased,ACR,,5212 Guadalupe A,5212 Guadalupe ,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,2.0,3100.0,775.0,2016/8/9,,,,,,"210-247-8164, 409-866-8494, 254-231-6721, 210-275-9008",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Built in 2005, Carpet, Tile, Spacious, Garage, Fire Place",,,,
,Active,ACR,,5409 Evans #A,5409 Evans,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,5,3.5,3300.0,825.0,2016/8/12,,,,,,"512-771-4597, 972-832-3731, 713-857-9756, 817-914-7961",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Tile downstairs, and carpet upstairs.  Fenced in backyard.",,,,
,Leased,ACR,,819 E 31st,819 E 31st,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,3,1.0,2400.0,800.0,2016/8/12,,,,,,"512-461-3274, 512-590-3027, 512-568-1372",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Nice 3/1 house with 2nd living room that can be used as another bedroom or study, and a backyard.  Spacious bedrooms. W/D",,,,
,Active,ACR,,500 Zennia B,500 Zennia ,B,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,3.0,3700.0,925.0,2016/8/10,,,,,,"817-454-4259, 817-456-5171, 956-975-7481,",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Modern finish out. White oak wood floors, marble entrance, tile back splashes.  Front driveway and fenced in backyard. W/D  --  Owner Managed",,,,
,Leased,ACR,,616 W 35th #A,616 W 35th,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,4.0,3600.0,1200.0,2016/8/8,,,,,,"936-676-9376, 817-905-2239, 817-996-4712",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Great Floor plan, Modern Finish, Washer/Dryer, 1 study",,,,
,Leased,ACR,,616 W 35th #B,616 W 35th,B,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,4.0,3600.0,1200.0,2016/8/8,,,,,,"915-309-9575, 361-442-6950, 361-726-8622",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Great Floor plan, Modern Finish, Washer/Dryer, 1 study",,,,
,Leased,ACR,,1038 E 43rd #A,1038 E 43rd ,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,4,3.0,3000.0,750.0,2016/8/11,,,,,,"785-218-5643, 262-689-5368, 540-471-7458",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Luxury home, on bus stop, Wood Floors, Modern",,,,
,Leased,ACR,,Chateau Duval #101,3106 Duval,101,Austin,TX,,,TAA + ADDENDA,,NC/HP,Apartment,3,1.0,1750.0,583.0,2016/8/10,,,,,,"Schedule 24 hrs in advance w/ office, tillery@austincityrealty.net",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Woods floors throughout, Easy Walk to Campus, Carpet and wood options, Very Spacious, One Parking Space, Onsite Laundry, Lots of Closet Space",,,,
,Leased,ACR,,4406 Bennett #A,4406 Bennett,A,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,3,2.0,2475.0,825.0,2016/8/11,,,,,,"706-206-3794, 828-551-0812, 678-643-8419",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Great Unit, plenty of parking, modern finishout, W/D",,,,
,Active,ACR,,4528 Highland Terrace,4528 Highland Terrace,,Austin,TX,,,TAA + ADDENDA,,Hyde Park,House/Duplex,3,2.0,2100.0,700.0,2015/8/8,,,,,,"903-280-1315, 903-280-8721, 785-218-5910",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Two Living Rooms, Wood Floors, W/D - Owner Managed",,,,
,Active,ACR,,5300 Duval #A,5300 Duval,A,Austin,TX,,,TAA + ADDENDA,,Hyde Park,House/Duplex,3,2.0,1950.0,650.0,2015/8/8,,,,,,"832-392-7823, 281-794-4389, 512-755-6469, 281-702-1972",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Washer/ Dyer, fireplace, tile throughout - Owner Managed",,,,
,Active,ACR,,5300 Duval #A,5300 Duval,A,Austin,TX,,,TAA + ADDENDA,,Hyde Park,House/Duplex,3,2.0,1950.0,650.0,2015/8/8,,,,,,"832-392-7823, 281-794-4389, 512-755-6469, 281-702-1972",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Washer/ Dyer, fireplace, tile throughout - Owner Managed",,,,
,Active,ACR,,5302 Duval #A,5302 Duval,A,Austin,TX,,,TAA + ADDENDA,,Hyde Park,House/Duplex,3,2.0,1950.0,650.0,2015/8/8,,,,,,"210-452-1796, 713-447-4066, 512-373-2148",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Washer/ Dyer, fireplace, tile throughout",,,,
,Active,ACR,,5300 Duval #B,5300 Duval,B,Austin,TX,,,TAA + ADDENDA,,hyde Park,House/Duplex,3,2.0,1950.0,650.0,2015/8/8,,,,,,,,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Washer/ Dyer, fireplace, tile throughout",,,,
,Active,ACR,,5302 Duval #B,5302 Duval,B,Austin,TX,,,TAA + ADDENDA,,Hyde Park,House/Duplex,3,2.0,1950.0,650.0,2015/8/8,,,,,,"512-205-2870, 832-205-2870, 512-698-9465",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Washer/ Dyer, fireplace, tile throughout - Owner Managed",,,,
,Active,ACR,,5304 Duval #A,5304 Duval,A,Austin,TX,,,TAA + ADDENDA,,Hyde Park,House/Duplex,3,2.0,1900.0,633.0,2015/8/8,,,,,,"210-833-0152, 210-562-0994, 281-725-8201;Key in listing office and MLS lockbox",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Washer/ Dyer, fireplace, tile throughout - Owner Managed",,,,
,Leased,ACR,,4406 Bennett #B,4406 Bennett,B,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,3,2.0,2475.0,825.0,2016/8/11,,,,,,"414-305-9465, 512-289-2692, 713-614-7453",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Great Unit, plenty of parking, modern finishout",,,,
,Leased,ACR,,3111 Hemphill,3111 Hemphill,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,3,3.0,2700.0,900.0,2016/8/11,,,,,,"214-575-2233, 972-983-3377",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Big backyard.  Three bedrooms each with their own bathroom.  Wood floors, tile bathrooms and kitchen.  Located on Hemphill Park near stores and restaurants. Shared w/d",,,,
,Leased,ACR,,3109 Hemphill,3109 Hemphill,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,3,3.0,2700.0,900.0,2016/8/11,,,,,,"254-230-3066, 832-701-3630, 401-556-1035",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Back yard and balcony deck. Wood floors, tile bathrooms and kitchen, and third floor private bedroom/bathroom. Located on Hemphill Park near stores and restaurants. Shared w/d",,,,
,Active,ACR,,602 East 48th St,602 East 48th St,,Austin,TX,,,TAA + ADDENDA,,NC/HP,House/Duplex,3,2.0,2200.0,733.0,2015/8/6,,,,,,,,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property",Spacious floor plan with large bedrooms.  Fenced in yard.  Close to UT shuttle.  --  Owner Managed,,,,
,Active,ACR,,1902 1/2 David,1902 1/2 David,,Austin,TX,,,TAA + ADDENDA,,WC,House/Duplex,3,3.0,2550.0,850.0,2016/8/8,,,,,,"Please Call Only (no texting) at least 2 hours before:972-693-5884, 214-543-1095, 214-514-4998; 469-269-8379",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property",Backhouse to 1902 David.  Cabin style with a huge deck.  Covered parking included.  -- Owner Managed,,,,
,Leased,ACR,,2708 San Pedro #104,2708 San Pedro,104,Austin,TX,,,TAA + ADDENDA,,WC,Condo,3,2.0,2775.0,925.0,2015/8/4,,,,,,"830-890-9003, 361-944-9276, 281-748-7275",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Newest Condo Complex, Pristine Finishout, 2 Parking Spots, Great Location",,,,
,Leased,ACR,,2708 San Pedro #203,2708 San Pedro,203,Austin,TX,,,TAA + ADDENDA,,WC,Condo,3,2.0,2925.0,975.0,2016/8/4,,,,,,"832-465-8492, 281-520-1269, 832-928-8840",,,,.3,,"ACR | Deposit = 1 Month's Rent, App Fee $100/Applicant, Admin Fee = $100/Property","Newest Condo Complex, Pristine Finishout, 2 Parking Spots, Great Location",,,,
